iter	Passed	Remaining
963	3387	126
964	3390	122
965	3393	119
966	3396	115
967	3399	112
968	3402	108
969	3406	105
970	3409	101
971	3412	98
972	3415	94
973	3419	91
974	3422	87
975	3424	84
976	3428	80
977	3430	77
978	3433	73
979	3436	70
980	3439	66
981	3442	63
982	3445	59
983	3448	56
984	3451	52
985	3454	49
986	3457	45
987	3460	42
988	3463	38
989	3466	35
990	3469	31
991	3472	28
992	3475	24
993	3478	20
994	3481	17
995	3484	13
996	3488	10
997	3492	6
998	3496	3
999	3501	0
