iter	Passed	Remaining
608	10700	6870
609	10713	6849
610	10729	6831
611	10744	6811
612	10758	6791
613	10770	6771
614	10783	6750
615	10802	6733
616	10817	6715
617	10833	6696
618	10849	6677
619	10870	6662
620	10884	6642
621	10899	6623
622	10916	6606
623	10934	6588
624	10947	6568
625	10966	6551
626	10980	6532
627	10995	6512
628	11011	6494
629	11029	6477
630	11045	6459
631	11063	6442
632	11078	6423
633	11097	6406
634	11113	6387
635	11126	6368
636	11143	6349
637	11160	6332
638	11172	6311
639	11186	6292
640	11201	6273
641	11218	6255
642	11235	6237
643	11252	6220
644	11269	6202
645	11286	6185
646	11299	6164
647	11318	6148
648	11332	6128
649	11348	6110
650	11364	6092
651	11382	6075
652	11402	6059
653	11419	6041
654	11438	6024
655	11451	6005
656	11469	5987
657	11486	5970
658	11504	5953
659	11523	5936
660	11540	5918
661	11555	5900
662	11571	5881
663	11588	5863
664	11602	5844
665	11619	5827
666	11637	5809
667	11652	5791
668	11665	5771
669	11683	5754
670	11704	5738
671	11719	5720
672	11734	5701
673	11751	5683
674	11769	5666
675	11788	5650
676	11807	5633
677	11827	5617
678	11843	5599
679	11860	5581
680	11879	5564
681	11900	5549
682	11915	5530
683	11935	5514
684	11956	5498
685	11985	5486
686	12003	5468
687	12023	5452
688	12039	5434
689	12059	5418
690	12087	5405
691	12107	5388
692	12123	5370
693	12143	5354
694	12160	5336
695	12182	5320
696	12207	5306
697	12231	5291
698	12254	5276
699	12277	5261
700	12294	5243
701	12317	5228
702	12332	5210
703	12350	5192
704	12373	5177
705	12401	5164
706	12418	5146
707	12436	5129
708	12453	5111
709	12471	5094
710	12494	5078
711	12511	5061
712	12529	5043
713	12547	5026
714	12561	5007
715	12577	4988
716	12594	4970
717	12610	4952
718	12629	4935
719	12646	4918
720	12662	4900
721	12677	4881
722	12690	4862
723	12706	4843
724	12721	4825
725	12735	4806
726	12748	4787
727	12762	4768
728	12779	4750
729	12799	4734
730	12818	4717
731	12837	4700
732	12858	4683
733	12874	4665
734	12891	4648
735	12905	4629
736	12921	4611
737	12940	4594
738	12957	4576
739	12970	4557
740	12989	4540
741	13004	4521
742	13021	4503
743	13038	4486
744	13053	4468
745	13072	4451
746	13093	4434
747	13109	4416
748	13127	4399
749	13145	4381
750	13163	4364
751	13179	4346
752	13196	4328
753	13213	4311
754	13233	4294
755	13248	4275
756	13261	4257
757	13278	4239
758	13292	4220
759	13307	4202
760	13321	4183
761	13336	4165
762	13353	4147
763	13369	4129
764	13385	4111
765	13406	4095
766	13419	4076
767	13436	4059
768	13455	4041
769	13474	4024
770	13491	4007
771	13509	3989
772	13527	3972
773	13547	3955
774	13562	3937
775	13580	3920
776	13600	3903
777	13619	3886
778	13631	3867
779	13644	3848
780	13662	3831
781	13677	3813
782	13692	3794
783	13710	3777
784	13730	3760
785	13747	3742
786	13764	3725
787	13779	3707
788	13799	3690
789	13817	3672
790	13833	3655
791	13851	3637
792	13870	3620
793	13883	3601
794	13899	3584
795	13918	3567
796	13932	3548
797	13948	3530
798	13960	3511
799	13974	3493
800	13990	3475
801	14007	3458
802	14023	3440
803	14042	3423
804	14058	3405
805	14072	3387
806	14086	3368
807	14098	3350
808	14115	3332
809	14129	3314
810	14143	3295
811	14156	3277
812	14170	3259
813	14183	3241
814	14196	3222
815	14211	3204
816	14228	3187
817	14244	3169
818	14257	3150
819	14273	3133
820	14286	3114
821	14301	3097
822	14313	3078
823	14327	3060
824	14343	3042
825	14358	3024
826	14371	3006
827	14388	2988
828	14402	2970
829	14418	2953
830	14437	2936
831	14450	2917
832	14462	2899
833	14481	2882
834	14498	2864
835	14515	2847
836	14531	2829
837	14546	2812
838	14558	2793
839	14571	2775
840	14591	2758
841	14602	2740
842	14618	2722
843	14636	2705
844	14653	2687
845	14670	2670
846	14687	2653
847	14703	2635
848	14720	2618
849	14735	2600
850	14753	2583
851	14773	2566
852	14790	2548
853	14804	2530
854	14820	2513
855	14836	2495
856	14855	2478
857	14884	2463
858	14903	2446
859	14919	2428
860	14938	2411
861	14955	2394
862	14968	2376
863	14982	2358
864	15001	2341
865	15020	2324
866	15040	2307
867	15057	2289
868	15073	2272
869	15086	2254
870	15101	2236
871	15117	2219
872	15133	2201
873	15150	2184
874	15168	2166
875	15189	2150
876	15208	2132
877	15226	2115
878	15242	2098
879	15260	2080
880	15277	2063
881	15294	2046
882	15313	2029
883	15333	2012
884	15351	1994
885	15373	1978
886	15393	1961
887	15415	1944
888	15439	1927
889	15455	1910
890	15475	1893
891	15490	1875
892	15508	1858
893	15522	1840
894	15545	1823
895	15564	1806
896	15582	1789
897	15602	1772
898	15619	1754
899	15633	1737
900	15648	1719
901	15666	1702
902	15679	1684
903	15694	1666
904	15709	1649
905	15728	1631
906	15744	1614
907	15763	1597
908	15777	1579
909	15792	1561
910	15816	1545
911	15836	1528
912	15851	1510
913	15870	1493
914	15889	1476
915	15907	1458
916	15927	1441
917	15945	1424
918	15963	1407
919	15976	1389
920	15993	1371
921	16011	1354
922	16028	1337
923	16045	1319
924	16061	1302
925	16081	1285
926	16094	1267
927	16111	1249
928	16127	1232
929	16143	1215
930	16162	1197
931	16176	1180
932	16188	1162
933	16204	1145
934	16219	1127
935	16237	1110
936	16256	1092
937	16275	1075
938	16293	1058
939	16312	1041
940	16332	1024
941	16354	1006
942	16373	989
943	16389	972
944	16404	954
945	16419	937
946	16434	919
947	16460	902
948	16479	885
949	16496	868
950	16514	850
951	16533	833
952	16547	816
953	16560	798
954	16576	781
955	16592	763
956	16611	746
957	16627	728
958	16642	711
959	16656	694
960	16673	676
961	16690	659
962	16705	641
963	16726	624
964	16744	607
965	16760	589
966	16777	572
967	16796	555
968	16817	538
969	16839	520
970	16859	503
971	16874	486
972	16889	468
973	16904	451
974	16922	433
975	16940	416
976	16955	399
977	16969	381
978	16982	364
979	17003	347
980	17019	329
981	17036	312
982	17053	294
983	17070	277
984	17091	260
985	17111	242
986	17126	225
987	17142	208
988	17158	190
989	17172	173
990	17191	156
991	17208	138
992	17222	121
993	17243	104
994	17258	86
995	17270	69
996	17284	52
997	17303	34
998	17317	17
999	17334	0
